tree,pat_ms,FastTree_ms,fa_ms,cascade_ms,capillary_ms,pat_norm,FastTree_norm,fa_norm,cascade_norm,capillary_norm
"1,64_16384,32",0.3162879943847656,0.2460160031914711,6.786720037460327,0.44569599628448486,0.323592807483073,1.0000,1.2856,0.0466,0.7096,0.9774
"1,64_32768,32",0.5744160115718842,0.34411199390888214,13.236239910125732,0.6466239988803864,0.44168909134264506,1.0000,1.6693,0.0434,0.8883,1.3005
"1,64_65536,32",1.1181280016899109,0.6820959746837616,26.399344444274902,1.1050879955291748,0.6869547509284973,1.0000,1.6393,0.0424,1.0118,1.6277
"1,64_131072,32",2.2015678882598877,,,2.042847990989685,1.2305404097813137,1.0000,,,1.0777,1.7891
"1,64_16384,64",0.3234720081090927,0.2524159997701645,6.670367956161499,0.42956799268722534,0.32659857631520706,1.0000,1.2815,0.0485,0.7530,0.9904
"1,64_32768,64",0.5931200087070465,0.44542400538921356,13.127120018005371,0.6403839886188507,0.4442213975170441,1.0000,1.3316,0.0452,0.9262,1.3352
"1,64_65536,64",1.1320319771766663,0.6552320122718811,26.329167366027832,1.1161119937896729,0.6902040107009063,1.0000,1.7277,0.0430,1.0143,1.6401
"1,64_131072,64",2.2076319456100464,,,2.0592000484466553,1.227922491040969,1.0000,,,1.0721,1.7979
"1,64_16384,128",0.32945600152015686,0.2473600059747696,6.816879987716675,0.4520159959793091,0.35428646697415167,1.0000,1.3319,0.0483,0.7289,0.9299
"1,64_32768,128",0.6185280084609985,0.4232639968395233,13.17136001586914,0.6779360175132751,0.4687191512872932,1.0000,1.4613,0.0470,0.9124,1.3196
"1,64_65536,128",1.1323840022087097,0.647487998008728,26.40015983581543,1.159343957901001,0.7067603212473234,1.0000,1.7489,0.0429,0.9767,1.6022
"1,64_131072,128",2.2437599897384644,,,2.113200068473816,1.2365916419338565,1.0000,,,1.0618,1.8145
"1,128_16384,32",0.3219040036201477,0.3996639996767044,13.241503715515137,0.46433600783348083,0.4151295786816396,1.0000,0.8054,0.0243,0.6933,0.7754
"1,128_32768,32",0.5920160114765167,0.6241440176963806,26.338415145874023,0.7031359970569611,0.5243139801264459,1.0000,0.9485,0.0225,0.8420,1.1291
"1,128_65536,32",1.1366400122642517,,,1.1652159690856934,0.7532278051955575,1.0000,,,0.9755,1.5090
"1,128_131072,32",2.208880066871643,,,2.125375986099243,1.2523179559671898,1.0000,,,1.0393,1.7638
"1,128_16384,64",0.33606401085853577,0.39428800344467163,13.236799716949463,0.4604320079088211,0.42086598880998494,1.0000,0.8523,0.0254,0.7299,0.7985
"1,128_32768,64",0.5905600190162659,0.5930559933185577,26.31611156463623,0.7061920166015625,0.5304724130343536,1.0000,0.9958,0.0224,0.8363,1.1133
"1,128_65536,64",1.1439040303230286,,,1.1871840357780457,0.75975708852832,1.0000,,,0.9635,1.5056
"1,128_131072,64",2.1827999353408813,,,2.1384479999542236,1.2612203334744025,1.0000,,,1.0207,1.7307
"1,128_16384,128",0.3641280084848404,0.430527999997139,13.410335540771484,0.5358080267906189,0.48280354436084527,1.0000,0.8458,0.0272,0.6796,0.7542
"1,128_32768,128",0.6302400231361389,0.7123199999332428,26.384431838989258,0.7639360129833221,0.5934592422219594,1.0000,0.8848,0.0239,0.8250,1.0620
"1,128_65536,128",1.179263949394226,,,1.2501760125160217,0.8229863780908074,1.0000,,,0.9433,1.4329
"1,128_131072,128",2.213328003883362,,,2.189455986022949,1.3211435302814671,1.0000,,,1.0109,1.6753
