tree,pat_ms,FastTree_ms,fa_ms,cascade_ms,capillary_ms,pat_norm,FastTree_norm,fa_norm,cascade_norm,capillary_norm
"1,64_16384,32",0.3116160035133362,,,0.4399520009756088,0.20416528207842033,1.0000,,,0.7083,1.5263
"1,64_32768,32",0.5837120115756989,,,0.6297599971294403,0.27566653528112517,1.0000,,,0.9269,2.1175
"1,64_65536,32",1.1281919479370117,,,1.0711519718170166,0.413859279355771,1.0000,,,1.0533,2.7260
"1,64_131072,32",2.2114239931106567,,,2.0354080200195312,0.6912716303078664,1.0000,,,1.0865,3.1991
"1,64_16384,64",0.31414400041103363,,,0.45000000298023224,0.21007870149105726,1.0000,,,0.6981,1.4954
"1,64_32768,64",0.5896320044994354,,,0.6323999762535095,0.2809995822952758,1.0000,,,0.9324,2.0983
"1,64_65536,64",1.1400319933891296,,,1.1020640134811401,0.41764849823023104,1.0000,,,1.0345,2.7296
"1,64_131072,64",2.2119200229644775,,,2.005952000617981,0.6948833434133912,1.0000,,,1.1027,3.1832
"1,64_16384,128",0.3171200007200241,,,0.43960000574588776,0.22981514228376054,1.0000,,,0.7214,1.3799
"1,64_32768,128",0.5927039980888367,,,0.602543979883194,0.30133544866975737,1.0000,,,0.9837,1.9669
"1,64_65536,128",1.126047968864441,,,1.0871999859809875,0.4378635298747067,1.0000,,,1.0357,2.5717
"1,64_131072,128",2.2063679695129395,,,2.0436800718307495,0.7168329662474894,1.0000,,,1.0796,3.0779
"1,128_16384,32",0.3089440017938614,,,0.4453119933605194,0.271318936148815,1.0000,,,0.6938,1.1387
"1,128_32768,32",0.5732159912586212,,,0.6278400123119354,0.34298605557042844,1.0000,,,0.9130,1.6713
"1,128_65536,32",1.1188000440597534,,,1.112272024154663,0.4796082200673876,1.0000,,,1.0059,2.3327
"1,128_131072,32",2.199504017829895,,,2.074272036552429,0.7593651317239973,1.0000,,,1.0604,2.8965
"1,128_16384,64",0.300479993224144,,,0.44622400403022766,0.2772611645071052,1.0000,,,0.6734,1.0837
"1,128_32768,64",0.5702719986438751,,,0.636495977640152,0.3485569681102828,1.0000,,,0.8960,1.6361
"1,128_65536,64",1.1216639876365662,,,1.108031988143921,0.48469195603460835,1.0000,,,1.0123,2.3142
"1,128_131072,64",2.1694079637527466,,,2.0614079236984253,0.7663444651117476,1.0000,,,1.0524,2.8309
"1,128_16384,128",0.32020799815654755,,,0.44735999405384064,0.3174431569618117,1.0000,,,0.7158,1.0087
"1,128_32768,128",0.5845440030097961,,,0.6751039922237396,0.39185414784007494,1.0000,,,0.8659,1.4917
"1,128_65536,128",1.1195040345191956,,,1.1461439728736877,0.5286096310591559,1.0000,,,0.9768,2.1178
"1,128_131072,128",2.2138559818267822,,,2.0788800716400146,0.8117890744738193,1.0000,,,1.0649,2.7271
